mean_green_index,mean_gray,std_color,mean_hue,status
0.28,210.5,12.3,45.2,Baixa
0.30,205.1,15.0,48.0,Baixa
0.27,215.0,11.8,42.5,Baixa
0.29,208.3,13.5,46.7,Baixa
0.31,200.0,14.2,50.1,Baixa
0.38,160.2,22.5,95.3,Media
0.40,155.5,25.1,100.2,Media
0.37,165.0,21.8,92.0,Media
0.39,158.8,23.9,97.5,Media
0.41,150.3,26.4,103.1,Media
0.48,95.3,30.2,125.4,Alta
0.50,88.7,33.5,130.0,Alta
0.47,98.1,29.8,122.3,Alta
0.49,91.5,31.7,127.8,Alta
0.51,85.0,35.1,133.2,Alta
0.33,185.4,45.2,60.5,Sedimentacao
0.32,188.0,48.7,58.2,Sedimentacao
0.34,182.3,42.9,63.1,Sedimentacao
0.31,190.5,50.3,55.8,Sedimentacao
0.33,186.7,46.1,61.4,Sedimentacao
